date,news_count,signal,avg_score,avg_relevance,max_relevance,score_std,positive_count,neutral_count,negative_count,positive_share,neutral_share,negative_share,signal_ma_3,signal_ma_5,signal_ma_7
2026-03-04,17,0.252,0.1241,0.3035,0.87,0.2843,3,13,1,0.1765,0.7647,0.0588,0.1686,-0.0054,-0.0351
2026-03-05,17,0.0333,0.0453,0.2788,0.96,0.2995,3,12,2,0.1765,0.7059,0.1176,0.1546,0.0709,-0.0185
2026-03-06,15,0.0229,0.018,0.2293,0.72,0.2355,1,11,3,0.0667,0.7333,0.2,0.1028,0.1124,0.0042
2026-03-09,13,-0.0242,0.0192,0.1438,0.42,0.093,0,12,1,0.0,0.9231,0.0769,0.0107,0.0925,0.0505
2026-03-10,18,0.2035,0.0817,0.1917,0.74,0.176,1,17,0,0.0556,0.9444,0.0,0.0674,0.0975,0.1059
2026-03-11,16,0.0043,0.0094,0.1788,0.52,0.1116,1,13,2,0.0625,0.8125,0.125,0.0612,0.048,0.0958
2026-03-12,16,-0.0714,-0.0006,0.1431,0.62,0.0943,0,15,1,0.0,0.9375,0.0625,0.0455,0.027,0.0601
2026-03-13,13,0.1435,0.0669,0.1823,0.66,0.0978,2,11,0,0.1538,0.8462,0.0,0.0255,0.0512,0.0446
2026-03-16,19,-0.2488,-0.0784,0.2826,0.88,0.2215,0,14,5,0.0,0.7368,0.2632,-0.0589,0.0062,0.0043
2026-03-17,16,-0.1305,-0.0069,0.3075,0.86,0.334,3,10,3,0.1875,0.625,0.1875,-0.0786,-0.0606,-0.0176
2026-03-18,19,0.1201,0.0726,0.3195,0.78,0.3068,3,13,3,0.1579,0.6842,0.1579,-0.0864,-0.0374,0.003
2026-03-19,11,-0.074,-0.0191,0.1955,0.41,0.1652,0,9,2,0.0,0.8182,0.1818,-0.0282,-0.0379,-0.0367
2026-03-20,21,0.0835,0.05,0.2867,0.9,0.2739,2,17,2,0.0952,0.8095,0.0952,0.0432,-0.05,-0.0254
2026-03-23,17,-0.0695,0.0071,0.1959,0.71,0.1533,0,15,2,0.0,0.8824,0.1176,-0.02,-0.0141,-0.0251
2026-03-24,10,0.0634,0.045,0.276,0.78,0.3166,1,8,1,0.1,0.8,0.1,0.0258,0.0247,-0.0366
2026-03-25,18,0.1844,0.0644,0.2244,0.84,0.1983,2,14,2,0.1111,0.7778,0.1111,0.0594,0.0375,0.0253
2026-03-26,16,-0.0274,0.0312,0.3375,0.88,0.3639,3,10,3,0.1875,0.625,0.1875,0.0735,0.0469,0.0401
2026-03-27,22,-0.0537,0.0009,0.2618,0.9,0.258,1,18,3,0.0455,0.8182,0.1364,0.0344,0.0194,0.0152
2026-03-30,17,-0.3093,-0.0518,0.2194,0.93,0.2466,0,15,2,0.0,0.8824,0.1176,-0.1301,-0.0285,-0.0184
2026-03-31,12,-0.0062,0.02,0.1642,0.34,0.0991,0,11,1,0.0,0.9167,0.0833,-0.123,-0.0424,-0.0312
2026-04-01,18,0.1639,0.075,0.2161,0.76,0.1704,2,15,1,0.1111,0.8333,0.0556,-0.0505,-0.0465,0.0022
2026-04-02,16,-0.0693,0.0094,0.1981,0.72,0.1302,0,15,1,0.0,0.9375,0.0625,0.0295,-0.0549,-0.0168
2026-04-06,15,-0.02,0.0233,0.1893,0.72,0.104,1,13,1,0.0667,0.8667,0.0667,0.0249,-0.0482,-0.046
2026-04-07,17,-0.0448,0.0153,0.2112,0.78,0.204,1,15,1,0.0588,0.8824,0.0588,-0.0447,0.0047,-0.0485
2026-04-08,21,0.2378,0.0862,0.2829,0.89,0.2852,3,16,2,0.1429,0.7619,0.0952,0.0576,0.0535,-0.0068
2026-04-09,18,0.0015,0.0383,0.2833,0.84,0.2073,3,12,3,0.1667,0.6667,0.1667,0.0648,0.021,0.0376
2026-04-10,14,0.2482,0.0979,0.1971,0.82,0.167,1,13,0,0.0714,0.9286,0.0,0.1625,0.0845,0.0739
2026-04-13,11,0.0966,0.0345,0.23,0.86,0.3055,1,9,1,0.0909,0.8182,0.0909,0.1154,0.1078,0.0643
2026-04-14,11,-0.2736,-0.0436,0.1982,0.88,0.2254,0,10,1,0.0,0.9091,0.0909,0.0238,0.0621,0.0351
2026-04-15,16,0.0486,0.0419,0.1644,0.25,0.0317,0,16,0,0.0,1.0,0.0,-0.0428,0.0243,0.0449
2026-04-16,12,0.2426,0.1067,0.2433,0.87,0.1765,1,11,0,0.0833,0.9167,0.0,0.0059,0.0725,0.086
2026-04-17,16,0.296,0.1562,0.3119,0.82,0.2968,4,11,1,0.25,0.6875,0.0625,0.1957,0.0821,0.0943
2026-04-22,15,0.0515,0.044,0.1567,0.27,0.0282,0,15,0,0.0,1.0,0.0,0.1967,0.073,0.1014
2026-04-23,14,0.1275,0.065,0.2429,0.78,0.1993,1,12,1,0.0714,0.8571,0.0714,0.1583,0.1532,0.0842
2026-04-24,17,-0.1011,-0.0294,0.2906,0.92,0.3284,1,13,3,0.0588,0.7647,0.1765,0.026,0.1233,0.0559
2026-04-27,11,0.0908,0.0236,0.2618,0.74,0.2757,2,7,2,0.1818,0.6364,0.1818,0.0391,0.093,0.108
2026-04-28,19,0.043,0.0447,0.1705,0.42,0.0299,0,19,0,0.0,1.0,0.0,0.0109,0.0424,0.1072
2026-04-29,16,-0.1402,-0.0013,0.2175,0.88,0.1942,0,15,1,0.0,0.9375,0.0625,-0.0021,0.004,0.0525
2026-04-30,19,0.0158,0.0,0.2716,0.88,0.2764,1,15,3,0.0526,0.7895,0.1579,-0.0271,-0.0183,0.0125
2026-05-04,17,0.0556,0.0459,0.2794,0.82,0.2466,4,11,2,0.2353,0.6471,0.1176,-0.0229,0.013,0.0131
2026-05-05,15,-0.0533,-0.0207,0.268,0.86,0.3047,1,11,3,0.0667,0.7333,0.2,0.006,-0.0158,-0.0128
2026-05-06,14,-0.3396,-0.1057,0.265,0.88,0.2626,0,10,4,0.0,0.7143,0.2857,-0.1124,-0.0923,-0.0468
2026-05-07,13,-0.1121,-0.0085,0.2131,0.86,0.2187,1,11,1,0.0769,0.8462,0.0769,-0.1683,-0.0867,-0.0758
2026-05-08,14,0.1288,0.0671,0.2857,0.88,0.2159,1,12,1,0.0714,0.8571,0.0714,-0.1076,-0.0641,-0.0636
2026-05-11,11,0.014,0.0227,0.3745,0.78,0.3514,2,7,2,0.1818,0.6364,0.1818,0.0102,-0.0724,-0.0415
2026-05-12,18,0.0959,0.0456,0.1878,0.58,0.1302,1,16,1,0.0556,0.8889,0.0556,0.0796,-0.0426,-0.0301
2026-05-13,16,0.0717,0.0638,0.3094,0.91,0.2733,3,12,1,0.1875,0.75,0.0625,0.0605,0.0397,-0.0278
2026-05-14,13,-0.1654,-0.0023,0.2146,0.91,0.2161,1,11,1,0.0769,0.8462,0.0769,0.0007,0.029,-0.0438
2026-05-15,15,0.0637,0.038,0.2327,0.84,0.1797,1,13,1,0.0667,0.8667,0.0667,-0.01,0.016,0.0138
2026-05-18,14,-0.0323,0.0114,0.2879,0.96,0.3118,1,11,2,0.0714,0.7857,0.1429,-0.0447,0.0067,0.0252
2026-05-19,17,0.2426,0.1082,0.2988,0.78,0.2301,3,13,1,0.1765,0.7647,0.0588,0.0913,0.0361,0.0414
2026-05-20,16,0.1927,0.0681,0.2112,0.82,0.2017,2,13,1,0.125,0.8125,0.0625,0.1343,0.0603,0.067
2026-05-21,14,0.0919,0.0329,0.3664,0.93,0.3651,2,9,3,0.1429,0.6429,0.2143,0.1758,0.1117,0.0664
2026-05-22,15,0.074,0.0407,0.1727,0.44,0.0999,1,13,1,0.0667,0.8667,0.0667,0.1196,0.1138,0.0667
2026-05-25,11,-0.3829,-0.0909,0.26,0.87,0.288,0,9,2,0.0,0.8182,0.1818,-0.0723,0.0437,0.0357
2026-05-26,9,0.3317,0.1133,0.2044,0.78,0.229,1,8,0,0.1111,0.8889,0.0,0.0076,0.0615,0.074
2026-05-27,17,-0.0825,-0.0141,0.2606,0.63,0.1393,0,14,3,0.0,0.8235,0.1765,-0.0446,0.0065,0.0668
2026-05-28,13,0.0104,0.0077,0.2846,0.94,0.288,1,10,2,0.0769,0.7692,0.1538,0.0865,-0.0099,0.0336
2026-05-29,12,-0.0165,0.0133,0.3183,0.88,0.3336,1,9,2,0.0833,0.75,0.1667,-0.0295,-0.028,0.0037
2026-06-01,16,-0.0461,0.0188,0.2819,0.93,0.263,1,13,2,0.0625,0.8125,0.125,-0.0174,0.0394,-0.016
2026-06-02,15,0.2235,0.0927,0.2447,0.88,0.2227,2,12,1,0.1333,0.8,0.0667,0.0536,0.0177,0.0054
2026-06-03,11,0.0096,0.0245,0.2009,0.42,0.1043,0,10,1,0.0,0.9091,0.0909,0.0623,0.0362,0.0614
2026-06-05,1,0.02,0.02,0.08,0.08,0.0,0,1,0,0.0,1.0,0.0,0.0844,0.0381,0.0169
2026-06-08,14,-0.3191,-0.0871,0.2779,0.87,0.2784,0,11,3,0.0,0.7857,0.2143,-0.0965,-0.0224,-0.0169
2026-06-09,9,-0.0266,-0.0144,0.3044,0.55,0.154,0,7,2,0.0,0.7778,0.2222,-0.1086,-0.0185,-0.0222
2026-06-10,11,0.0416,0.0318,0.1682,0.42,0.0316,0,11,0,0.0,1.0,0.0,-0.1014,-0.0549,-0.0139
2026-06-11,17,0.042,0.0682,0.3041,0.78,0.2081,3,13,1,0.1765,0.7647,0.0588,0.019,-0.0484,-0.0013
2026-06-12,19,0.073,0.0511,0.2021,0.78,0.1062,2,16,1,0.1053,0.8421,0.0526,0.0522,-0.0378,-0.0228
2026-06-15,15,-0.2383,-0.082,0.3327,0.94,0.2309,0,11,4,0.0,0.7333,0.2667,-0.0411,-0.0217,-0.0582
2026-06-16,18,0.034,0.0383,0.2761,0.87,0.2633,2,14,2,0.1111,0.7778,0.1111,-0.0438,-0.0095,-0.0562
2026-06-17,14,0.0268,0.0243,0.2186,0.58,0.1282,1,12,1,0.0714,0.8571,0.0714,-0.0592,-0.0125,-0.0068
2026-06-18,16,-0.0105,0.0081,0.2588,0.78,0.2628,1,13,2,0.0625,0.8125,0.125,0.0168,-0.023,-0.0045
2026-06-19,12,-0.1431,-0.0267,0.2292,0.78,0.146,0,10,2,0.0,0.8333,0.1667,-0.0423,-0.0662,-0.0309
2026-06-22,15,-0.0573,0.0293,0.2513,0.82,0.1649,2,11,2,0.1333,0.7333,0.1333,-0.0703,-0.03,-0.0451
2026-06-23,10,0.0527,0.049,0.221,0.42,0.0398,0,10,0,0.0,1.0,0.0,-0.0493,-0.0263,-0.048
2026-06-24,12,0.1855,0.0842,0.15,0.42,0.1858,1,11,0,0.0833,0.9167,0.0,0.0603,0.0055,0.0126
2026-06-25,17,-0.1468,-0.0312,0.3665,0.88,0.2808,2,12,3,0.1176,0.7059,0.1765,0.0305,-0.0218,-0.0132
2026-06-26,13,0.2265,0.0923,0.2092,0.9,0.1476,1,12,0,0.0769,0.9231,0.0,0.0884,0.0521,0.0153
2026-06-29,11,-0.4108,-0.1436,0.3355,0.95,0.3315,0,8,3,0.0,0.7273,0.2727,-0.1104,-0.0186,-0.0419
2026-06-30,17,-0.3183,-0.1429,0.3735,0.94,0.266,0,10,7,0.0,0.5882,0.4118,-0.1675,-0.0928,-0.0669
2026-07-01,13,0.1545,0.0346,0.2523,0.86,0.2093,2,9,2,0.1538,0.6923,0.1538,-0.1915,-0.099,-0.0367
2026-07-02,12,-0.0556,-0.0025,0.3192,0.79,0.2299,1,9,2,0.0833,0.75,0.1667,-0.0731,-0.0807,-0.0521
2026-07-03,20,-0.1486,-0.0265,0.2505,0.87,0.2345,1,16,3,0.05,0.8,0.15,-0.0166,-0.1558,-0.0999
2026-07-06,16,0.0505,0.035,0.1719,0.62,0.0312,0,16,0,0.0,1.0,0.0,-0.0512,-0.0635,-0.0717
2026-07-07,17,-0.0731,-0.0153,0.2741,0.79,0.258,1,13,3,0.0588,0.7647,0.1765,-0.0571,-0.0145,-0.1145
2026-07-08,15,0.1545,0.066,0.2187,0.83,0.199,0,13,2,0.0,0.8667,0.1333,0.044,-0.0145,-0.0337
2026-07-10,6,0.0867,0.0167,0.36,0.78,0.3643,1,3,2,0.1667,0.5,0.3333,0.056,0.014,0.0241
2026-07-13,16,0.1331,0.0512,0.2144,0.83,0.1511,2,13,1,0.125,0.8125,0.0625,0.1248,0.0703,0.0211
2026-07-14,19,0.2831,0.0921,0.2011,0.83,0.1793,2,17,0,0.1053,0.8947,0.0,0.1676,0.1169,0.0695
2026-07-15,17,0.0093,0.0182,0.1635,0.32,0.0834,0,16,1,0.0,0.9412,0.0588,0.1418,0.1333,0.092
2026-07-16,16,0.3154,0.1138,0.2162,0.86,0.2227,2,14,0,0.125,0.875,0.0,0.2026,0.1655,0.1299
2026-07-17,14,0.2179,0.0786,0.1764,0.72,0.1683,1,13,0,0.0714,0.9286,0.0,0.1809,0.1918,0.1714
2026-07-20,16,0.0142,0.0094,0.2106,0.72,0.1847,1,12,3,0.0625,0.75,0.1875,0.1825,0.168,0.1514
2026-07-21,15,0.0644,0.054,0.1807,0.32,0.0327,0,15,0,0.0,1.0,0.0,0.0989,0.1242,0.1482
2026-07-22,11,0.124,0.0555,0.2045,0.58,0.1503,1,9,1,0.0909,0.8182,0.0909,0.0676,0.1472,0.1469
2026-07-23,17,-0.0712,0.0024,0.2794,0.94,0.2887,1,14,2,0.0588,0.8235,0.1176,0.0391,0.0699,0.0963
2026-07-24,17,0.0706,0.0506,0.2176,0.78,0.1085,1,15,1,0.0588,0.8824,0.0588,0.0412,0.0404,0.1051
2026-07-27,14,0.3128,0.125,0.2993,0.94,0.2705,2,11,1,0.1429,0.7857,0.0714,0.1041,0.1001,0.1047
2026-07-28,15,0.0432,0.0373,0.1647,0.32,0.061,1,14,0,0.0667,0.9333,0.0,0.1422,0.0959,0.0797
2026-07-29,12,-0.2592,-0.0617,0.2933,0.92,0.2658,1,8,3,0.0833,0.6667,0.25,0.0323,0.0192,0.0407
2026-07-30,15,-0.0021,0.0053,0.3173,0.96,0.2723,1,11,3,0.0667,0.7333,0.2,-0.0727,0.0331,0.0312
2026-07-31,14,0.0015,-0.01,0.3029,0.88,0.1639,1,10,3,0.0714,0.7143,0.2143,-0.0866,0.0193,0.0137
2026-08-03,14,-0.1381,-0.0271,0.2514,0.84,0.1724,0,13,1,0.0,0.9286,0.0714,-0.0462,-0.0709,0.0041
2026-08-04,11,-0.2103,-0.0336,0.1991,0.73,0.2292,0,10,1,0.0,0.9091,0.0909,-0.1156,-0.1216,-0.036
2026-08-05,16,0.0129,0.0244,0.1731,0.41,0.0693,0,15,1,0.0,0.9375,0.0625,-0.1118,-0.0672,-0.0789
2026-08-06,15,-0.1567,-0.0593,0.3613,0.78,0.2677,1,10,4,0.0667,0.6667,0.2667,-0.1181,-0.0981,-0.1074
2026-08-07,16,-0.2128,-0.0275,0.2488,0.9,0.2129,0,14,2,0.0,0.875,0.125,-0.1189,-0.141,-0.1008
2026-08-09,1,-0.82,-0.82,0.95,0.95,0.0,0,0,1,0.0,0.0,1.0,-0.3965,-0.2774,-0.2177
2026-08-10,17,-0.0718,-0.0065,0.2765,0.86,0.2408,1,13,3,0.0588,0.7647,0.1765,-0.3682,-0.2497,-0.2281
2026-08-11,20,-0.0763,0.0065,0.207,0.82,0.1403,0,19,1,0.0,0.95,0.05,-0.3227,-0.2675,-0.2193
2026-08-12,13,0.0455,0.0385,0.1515,0.24,0.0291,0,13,0,0.0,1.0,0.0,-0.0342,-0.2271,-0.1828
2026-08-13,12,0.1774,0.0642,0.2242,0.74,0.2102,1,10,1,0.0833,0.8333,0.0833,0.0489,-0.149,-0.1593
2026-08-14,19,-0.1357,-0.0058,0.2216,0.78,0.1907,1,16,2,0.0526,0.8421,0.1053,0.0291,-0.0122,-0.1563
2026-08-17,18,0.014,0.0267,0.1622,0.46,0.1066,1,16,1,0.0556,0.8889,0.0556,0.0186,0.005,-0.1238
2026-08-18,11,0.0409,0.0364,0.1382,0.22,0.0206,0,11,0,0.0,1.0,0.0,-0.0269,0.0284,-0.0009
2026-08-19,13,0.0442,0.0385,0.2162,0.58,0.1182,1,11,1,0.0769,0.8462,0.0769,0.033,0.0282,0.0157
2026-08-20,15,0.28,0.1233,0.29,0.9,0.2665,3,11,1,0.2,0.7333,0.0667,0.1217,0.0487,0.0666
2026-08-21,13,0.3383,0.1154,0.2623,0.88,0.2982,2,10,1,0.1538,0.7692,0.0769,0.2208,0.1435,0.1085
2026-08-24,22,-0.3337,-0.0664,0.2532,0.96,0.2649,1,18,3,0.0455,0.8182,0.1364,0.0949,0.0739,0.0354
